,demand,demand,demand,demand,demand,demand,capacity_factor,capacity_factor,capacity_factor,capacity_factor,capacity_factor,capacity_factor,cop,cop,salt_caverns,salt_caverns,salt_caverns,biomass_potentials,biomass_potentials
,electricity,H2,heat,oil,biomass,process emission,hydroelectricity,offshore wind,onshore wind,solar PV,solar rooftop,solar thermal,air heat pump,ground heat pump,nearshore caverns,offshore caverns,onshore caverns,biogas,solid biomass
NO3 3,6.17,1.21,1.39,2.09,0.28,0.51,,34.08,14.43,6.21,6.21,2.46,2.24,3.0,,,,0.0,0.58
NO3 4,10.98,2.24,4.56,4.36,1.09,1.5,,39.58,23.61,7.16,7.16,3.12,2.34,3.1,,265.05,,0.01,1.99
NO3 5,16.8,2.45,6.54,1.29,0.52,0.16,,44.42,23.87,7.54,7.54,3.56,2.32,3.11,,2042.22,,0.02,2.49
NO3 6,36.67,6.03,19.51,2.7,0.36,0.05,,26.63,14.18,8.87,8.87,3.44,2.33,3.07,,,,0.01,1.03
PL0 0,15.55,5.39,20.42,3.39,8.16,5.86,,,23.29,9.22,9.22,3.67,2.6,3.43,,,72.22,2.09,11.21
PL0 1,9.46,0.91,14.25,3.41,10.73,1.0,,40.08,30.43,9.29,9.29,3.75,2.57,3.41,19.95,,31.66,4.45,13.61
PL0 2,35.27,6.39,41.68,2.39,2.3,1.02,75.48,,22.32,9.14,9.14,3.53,2.62,3.45,,,944.52,1.49,9.02
PL0 3,10.81,2.87,12.3,3.33,3.99,0.62,,39.08,24.42,9.18,9.18,3.63,2.63,3.46,20.49,,354.82,6.33,17.83
PL0 4,29.49,7.18,35.32,0.72,1.2,0.0,75.48,,24.49,9.05,9.05,3.61,2.59,3.42,,,891.47,1.8,8.95
PL0 5,54.17,9.18,58.52,1.95,5.58,0.04,,,22.26,9.22,9.22,3.62,2.6,3.44,,,146.61,3.26,11.38
PL0 6,25.52,2.48,39.11,1.22,1.92,0.05,,,23.23,9.04,9.04,3.6,2.58,3.4,,,239.49,1.88,9.12
PL0 7,17.33,2.68,24.57,1.57,2.43,1.26,75.48,,20.75,9.44,9.44,3.72,2.62,3.45,,,41.08,0.7,8.81
PT0 0,31.55,4.78,9.06,1.61,0.52,0.24,32.21,33.48,20.81,14.59,14.59,7.97,3.06,4.08,211.23,1666.55,,2.17,2.77
PT0 1,33.9,5.93,10.93,7.82,5.47,0.28,32.21,29.41,12.84,13.91,13.91,7.15,2.9,3.86,3.37,28.99,,1.23,10.18
PT0 2,6.97,0.88,1.57,6.88,11.65,2.93,,25.31,18.62,15.25,15.25,8.59,3.13,4.19,16.36,23.23,,2.81,8.51
RO0 0,23.82,2.58,24.95,3.82,3.37,1.23,27.38,,9.31,11.33,11.33,5.16,2.7,3.56,,,459.44,2.53,18.64
RO0 1,26.85,4.23,27.51,2.7,3.17,1.34,27.38,,12.87,12.03,12.03,5.7,2.76,3.64,,,48.94,2.05,32.25
RO0 2,21.31,3.35,22.11,4.7,3.7,2.17,27.38,30.57,15.84,11.57,11.57,5.25,2.72,3.6,,,33.4,2.01,14.92
RS0 0,23.0,1.59,13.39,1.92,2.71,0.23,,,7.69,11.9,11.9,5.9,2.78,3.62,,,,1.55,4.57
