snapshot,Fischer-Tropsch,H2 Fuel Cell,agriculture heat,low-temperature heat for industry,residential rural gas boiler,residential rural ground heat pump,residential rural heat,residential rural resistive heater,residential rural solar thermal,residential rural water tanks charger,residential rural water tanks discharger,residential urban decentral air heat pump,residential urban decentral gas boiler,residential urban decentral heat,residential urban decentral resistive heater,residential urban decentral solar thermal,residential urban decentral water tanks charger,residential urban decentral water tanks discharger,services rural gas boiler,services rural ground heat pump,services rural heat,services rural resistive heater,services rural water tanks charger,services rural water tanks discharger,services urban decentral air heat pump,services urban decentral gas boiler,services urban decentral heat,services urban decentral resistive heater,services urban decentral solar thermal,services urban decentral water tanks charger,services urban decentral water tanks discharger,urban central air heat pump,urban central gas CHP,urban central gas boiler,urban central heat,urban central resistive heater,urban central solar thermal,urban central solid biomass CHP,urban central solid biomass CHP CC,urban central water tanks charger,urban central water tanks discharger
2013-01-06 12:00:00,16.92,13.2,-21.63,-5.94,0.36,90.62,-91.47,0.5,0.0,-0.03,0.02,95.53,11.99,-109.01,1.47,0.03,-0.02,0.02,0.05,53.25,-31.72,0.06,-0.03,0.02,36.27,3.26,-39.84,0.31,0.01,-0.02,0.02,84.95,24.48,22.96,-256.77,16.09,29.27,0.81,73.25,-26.21,6.97
2013-01-06 15:00:00,15.36,24.59,-21.63,-5.94,2.17,95.85,-99.31,1.29,0.0,-0.0,0.0,95.5,19.77,-118.03,2.76,0.0,0.0,0.0,0.15,54.52,-33.14,0.1,-0.0,0.0,35.5,5.7,-41.61,0.4,0.0,0.0,0.0,76.41,42.02,31.85,-275.37,9.88,7.95,1.92,73.25,-13.02,11.08
2013-01-06 18:00:00,19.47,26.02,-21.63,-5.94,1.6,97.38,-99.99,1.0,0.0,-0.0,0.0,95.03,21.51,-119.35,2.82,0.0,0.0,0.0,0.08,53.44,-31.93,0.03,-0.0,0.0,33.99,5.82,-40.18,0.37,0.0,0.0,0.0,60.35,46.41,40.34,-275.2,7.58,0.0,1.92,73.25,-9.39,15.19
2013-01-06 21:00:00,10.49,25.88,-21.63,-5.94,0.11,66.15,-66.25,0.0,0.0,-0.0,0.0,70.59,9.37,-80.22,0.26,0.0,-0.0,0.0,0.06,48.28,-26.72,0.0,-0.0,0.0,28.54,4.95,-33.69,0.2,0.0,-0.0,0.0,55.21,41.03,16.94,-196.5,4.51,0.0,1.78,73.25,-29.78,3.11
2013-01-07 00:00:00,6.63,27.03,-21.63,-5.94,0.11,63.41,-63.52,0.0,0.0,-0.0,0.0,63.37,11.39,-74.97,0.22,0.0,-0.0,0.0,0.44,52.86,-31.72,0.04,-0.0,0.0,31.27,7.26,-39.25,0.73,0.0,0.0,0.0,51.3,49.94,18.4,-197.04,4.22,0.0,1.9,73.25,-32.21,2.5
2013-01-07 03:00:00,15.02,29.34,-21.63,-5.94,6.01,98.06,-108.05,3.98,0.0,-0.0,0.0,88.08,31.18,-125.57,6.31,0.0,0.0,0.0,2.82,61.26,-45.51,3.05,-0.0,0.0,37.88,14.18,-56.06,3.99,0.0,0.0,0.0,51.12,74.4,49.75,-313.32,7.91,0.0,1.92,73.25,-4.06,20.6
2013-01-07 06:00:00,19.34,29.34,-21.63,-5.94,7.24,102.4,-113.11,3.47,0.0,-0.0,0.0,86.64,40.49,-132.96,5.83,0.0,0.0,0.0,2.72,61.4,-44.86,2.36,-0.0,0.0,36.08,16.26,-55.63,3.29,0.0,0.0,0.0,49.8,77.01,52.04,-325.33,11.46,0.13,1.91,73.25,-5.54,22.52
2013-01-07 09:00:00,12.02,23.84,-21.63,-5.94,4.23,96.86,-102.22,1.13,0.0,-0.0,0.0,85.63,32.13,-120.21,2.44,0.02,0.0,0.0,1.26,58.16,-38.26,0.47,-0.0,0.0,34.38,12.18,-47.51,0.94,0.01,0.0,0.0,68.85,55.31,27.71,-289.32,13.74,16.64,0.73,72.83,-7.04,10.61
2013-01-07 12:00:00,10.06,24.03,-21.63,-5.94,3.72,94.95,-99.65,0.98,0.0,-0.0,0.0,84.48,30.67,-117.0,1.82,0.03,0.0,0.0,0.76,56.41,-35.74,0.2,-0.0,0.0,32.77,11.13,-44.34,0.42,0.01,0.0,0.0,73.26,59.32,21.34,-278.32,12.15,30.16,0.56,72.57,-25.9,6.68
2013-01-07 15:00:00,11.75,29.34,-21.63,-5.94,6.02,99.43,-108.38,2.93,0.0,-0.0,0.0,80.17,42.96,-126.89,3.76,0.01,0.0,0.0,0.76,56.38,-35.7,0.19,-0.0,0.0,28.36,15.49,-44.27,0.42,0.0,0.0,0.0,67.39,78.47,32.55,-295.25,12.12,8.61,1.92,73.25,-21.8,7.58
