,bus0,bus1,length,s_nom,s_nom_max,carrier,s_nom_opt
14584,DE0 15,NO3 5,760,0.0,10.0,DC,2.19
5626,GB5 16,GB4 0,237,0.25,10.25,DC,0.25
5625,GB5 16,GB4 0,237,0.25,10.25,DC,8.118
14552,GB5 7,IE4 0,411,0.5,10.5,DC,10.165
14531,SE3 6,DK0 0,345,0.25,10.25,DC,0.25
14556,SE3 6,DK0 0,345,0.6,10.6,DC,1.051
14553,FI3 4,EE6 0,234,0.65,10.65,DC,0.65
14555,SE3 0,FI3 0,478,0.8,10.8,DC,0.8
14554,SE3 0,FI3 0,478,0.5,10.5,DC,0.5
T0,ES0 9,FR0 12,404,0.0,10.0,DC,2.88
T1,IT0 12,FR0 13,218,0.0,10.0,DC,0.004
T2,FR0 22,GB5 10,328,0.0,10.0,DC,0.003
T10,DE0 8,DE0 9,469,0.0,10.0,DC,3.754
T12,GB5 6,FR0 18,438,0.0,10.0,DC,10.0
T13,GB5 2,DK0 0,929,0.0,10.0,DC,0.0
T15,IT0 11,CH0 1,181,0.0,10.0,DC,5.714
T17,NO3 2,GB5 8,923,0.0,10.0,DC,3.748
T18,DE0 15,DE0 13,710,0.0,10.0,DC,10.0
T19,GB5 10,FR0 22,328,0.0,10.0,DC,3.211
T20,DE0 7,DE0 22,293,0.0,10.0,DC,4.053
T21,GB5 9,FR0 19,177,0.0,10.0,DC,3.377
T22,GB5 9,DE0 11,718,0.0,10.0,DC,2.849
T23,LT6 0,SE3 3,725,0.0,10.0,DC,0.249
T24,EE6 0,FI3 4,234,0.0,10.0,DC,4.586
6168,PL0 6,LT6 0,413,2.0,12.0,DC,8.071
5631+4,IT0 8,IT1 0,562,0.3,10.3,DC,10.121
T16+1,SE3 3,DE0 23,476,0.0,10.0,DC,4.392
14559+1,DK0 0,NO3 5,475,0.94,10.94,DC,5.43
